4096,3,3,1,1,5,3,0
4096,4,3,1,1,5,3,0
4096,4,4,1,2,3,3,0
4096,3,3,1,1,5,3,0
4096,9,3,1,3,2,3,0
4096,11,4,1,3,0,3,0
4096,10,3,1,3,1,3,0
4096,9,3,1,3,0,3,0
4096,5,3,1,3,3,3,0
4096,8,3,1,3,1,3,0
4096,8,3,1,3,1,3,0
4096,8,3,1,3,2,3,0
4096,5,3,1,3,2,3,0
4096,3,3,1,1,5,3,0
4096,4,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,8,3,1,3,1,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,11,4,1,3,1,3,0
4096,8,3,1,3,1,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,5,3,1,3,3,3,0
4096,4,3,1,1,5,3,0
4096,9,3,1,3,1,3,0
4096,3,3,1,1,5,3,0
4096,8,3,1,3,1,3,0
4096,7,2,1,3,3,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,4,1,2,3,3,0
4096,2,1,1,1,5,4,0
4096,6,3,1,3,2,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,4,3,1,2,4,3,0
4096,3,3,1,1,5,3,0
4096,4,3,1,3,3,3,0
4096,4,3,1,3,3,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,4,3,1,1,5,3,0
4096,4,3,1,3,3,3,0
4096,4,3,1,1,5,3,0
4096,10,3,1,3,0,3,0
4096,3,3,1,1,5,3,0
4096,5,3,1,3,3,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,8,3,1,3,1,3,0
4096,9,3,1,3,2,3,0
4096,3,3,1,1,5,3,0
4096,6,3,1,3,3,3,0
4096,3,3,1,1,3,3,0
4096,5,3,1,3,3,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,2,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,3,3,1,1,5,3,0
4096,0,3,0,1,0,3,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,3,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,3,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,0,2,0
4096,1,3,1,1,2,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,1,3,1,1,0,3,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,3,0
4096,1,3,1,1,0,3,0
4096,0,3,0,1,5,3,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,0,3,0,1,5,2,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,3,3,0
4096,3,4,1,2,2,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,3,0,3,0
4096,4,4,1,1,2,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,1,5,3,0
4096,4,3,1,3,0,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,5,3,0
4096,3,4,0,3,1,3,0
4096,4,3,1,3,0,3,0
4096,1,3,0,1,5,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,5,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,2,4,3,0
4096,2,4,0,1,3,3,0
4096,1,3,0,1,5,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,5,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,5,3,0
4096,1,3,0,2,4,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,1,3,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,4,3,0
4096,1,3,0,1,4,3,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,2,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,2,4,0
4096,2,3,1,1,2,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,0,4,0
4096,2,3,1,1,1,4,0
4096,2,3,1,1,1,4,0
4096,3,2,0,3,1,4,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,3,1,0
4096,1,2,0,1,4,4,0
4096,1,2,0,1,4,4,0
4096,1,2,0,1,3,1,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,3,1,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,4,4,0
4096,1,2,0,1,3,1,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,4,4,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,3,1,0
4096,1,2,0,1,4,4,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,4,4,0
4096,1,2,0,1,5,4,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,0,1,0
4096,4,2,1,1,2,1,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,4,4,0
4096,4,2,1,3,0,4,0
4096,1,2,0,1,3,1,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,5,4,0
4096,3,2,0,3,1,4,0
4096,4,2,1,3,0,4,0
4096,1,2,0,1,5,4,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,5,1,0
4096,1,2,0,1,5,4,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,3,1,0
4096,1,2,0,1,4,4,0
4096,1,2,0,1,5,1,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,3,4,0
4096,1,2,0,1,4,4,0
4096,1,2,0,1,5,4,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,3,1,0
4096,1,2,0,1,5,4,0
4096,1,2,0,1,4,1,0
4096,1,2,0,1,4,1,0
4096,2,3,1,1,0,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,0,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,0,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,0,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,0,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,0,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,0,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,0,1,0
4096,2,3,1,1,0,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,1,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,2,3,1,1,2,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,6,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,8,5,1,1,2,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,6,5,1,1,3,1,0
4096,6,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,6,5,1,2,0,1,0
4096,7,5,1,1,3,1,0
4096,11,5,1,3,0,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,4,1,0
4096,7,5,1,1,3,1,0
4096,6,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,6,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,6,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,7,5,1,1,3,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,2,1,1,2,0,1,0
4096,3,1,0,3,2,3,0
4096,1,1,0,1,3,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,3,3,0
4096,1,1,0,1,3,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,0,3,0
4096,4,1,1,1,2,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,5,3,0
4096,4,1,1,3,0,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,3,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,5,3,0
4096,1,1,0,1,4,3,0
4096,1,1,0,1,4,3,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,3,1,1,2,0,1,0
4096,3,1,1,2,0,0,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,0,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,3,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,3,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,2,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,3,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,3,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,4,4,0
4096,1,2,1,2,5,4,0
4096,1,2,1,2,4,4,0
4096,3,1,0,3,0,1,0
4096,1,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
4096,1,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
4096,1,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
8192,1,1,0,3,0,1,0
4096,1,1,0,3,0,1,0
4096,1,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
4096,3,1,0,3,0,1,0
